Strain,Rating,Description,Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Flavor_1,Flavor_2,Flavor_3,Type,pr_words
Afghani-Cbd,4.6,"afghani cbd is a high-cbd variant of the landrace indica afghani grown by canadian lp tilray. named after its geographic origin afghani cbd has relaxing, therapeutic properties that have shown potential to help those suffering with insomnia, chronic pain, and stress disorders.",Relaxed,Happy,Sleepy,Tingly,Creative,Flowery,Chemical,Spicy/Herbal,2,afghani cbd variant landrace indica afghani grown canadian lp tilray named geographic origin afghani cbd relaxing therapeutic properties shown potential help suffering insomnia chronic pain stress disorders
Afghanica,4.1,"afghanica is a strain created by flying dutchmen with a taste, form, and effects typical of afghani varieties. coupled with the yield, vigor, and general potency true to skunks, it is a pleasure to grow and consume. this strain is cherished for its many medical applications including pain relief and insomnia, and its heavy physical characteristics are lent from its mother, afghani #1.",Relaxed,Sleepy,Happy,Hungry,Euphoric,Sweet,Flowery,Skunk,0,afghanica strain created flying dutchmen taste form effects typical afghani varieties coupled yield vigor general potency true skunks pleasure grow consume strain cherished many medical applications including pain relief insomnia heavy physical characteristics lent mother afghani
Afghanimal,5.0,"afghanimal by in house genetics is a heavy indica-leaning cross of afghani and animal cookies. this squat plant offers tight, rock-hard nuggets that reek of sweet, acrid earth intermixed with fruit and floral notes. it lends consumers heavy physical effects suited for pain relief, relaxation, and mood enhancement. afghanimal’s smaller stature and snappy 7-8 week flowering time make it a perfect fit for indica-loving indoor growers seeking classic and modern indica-dominant genetics.",Hungry,Relaxed,Aroused,Sleepy,Focused,Citrus,Skunk,,2,afghanimal house genetics heavy cross afghani animal cookies squat plant offers tight nuggets reek sweet acrid earth intermixed fruit floral notes lends consumers heavy physical effects suited pain relief relaxation mood enhancement afghanimal smaller stature snappy week flowering time make perfect fit indoor growers seeking classic modern genetics
Afghooey,4.1,"also known as afgoo, afghooey buds are light, fluffy, and heavily laden with a crystal coating of trichomes. working this marijuana in your hand can become a very sticky situation. smoking afghooey provides you with a best of both worlds indica & sativa high.",Uplifted,Euphoric,Relaxed,Talkative,Creative,Earthy,Sweet,Woody,2,also known afgoo afghooey buds light fluffy heavily laden crystal coating trichomes working marijuana hand become sticky situation smoking afghooey provides best worlds indica sativa high
Afgoo,4.1,"afgoo, also known as afgooey, is a potent indica strain that is believed to descend from an afghani indica and maui haze. its sativa parent may lend afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. growers hoping to cultivate afgoo may have a better chance of success indoors, but this indica can also thrive in mediterranean climates outdoors.",Relaxed,Sleepy,Happy,Euphoric,Hungry,Sweet,Pine,Woody,2,afgoo also known afgooey potent indica strain believed descend afghani indica maui haze sativa parent may lend afgoo uplifting creative qualities strain undoubtedly takes indica parent primarily delivers relaxing sleepy effects alongside earthy pine flavor growers hoping cultivate afgoo may better chance success indoors indica also thrive mediterranean climates outdoors
Afgooey,4.3,"afgooey, also known as afgoo, is a potent indica strain that is believed to descend from an afghani indica and maui haze. its sativa parent may lend afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. growers hoping to cultivate afgoo may have a better chance of success indoors, but this indica can also thrive in mediterranean climates outdoors.",Relaxed,Happy,Sleepy,Giggly,Uplifted,Woody,Pine,Pungent,2,afgooey also known afgoo potent indica strain believed descend afghani indica maui haze sativa parent may lend afgoo uplifting creative qualities strain undoubtedly takes indica parent primarily delivers relaxing sleepy effects alongside earthy pine flavor growers hoping cultivate afgoo may better chance success indoors indica also thrive mediterranean climates outdoors
Afkansastan,3.8,"afkansastan is a relaxing afghan landrace strain that packs a punch. it grows stout plants with dense, dark green buds that exhibit hints of purple and brick red pistils throughout. the smell is earthy and sweet, but shows off berry and stone fruit after grinding and on the exhale. this indica-dominant strain offers traditional sedative effects that curb physical discomfort, insomnia, and ignite the appetite. utilize this strain later in the day to harness the best it has to offer.     ",Uplifted,Euphoric,Giggly,Happy,Relaxed,Tobacco,Earthy,,2,afkansastan relaxing afghan landrace strain packs punch grows stout plants dense dark green buds exhibit hints purple brick red pistils throughout smell earthy sweet shows berry stone fruit grinding exhale strain offers traditional sedative effects curb physical discomfort insomnia ignite appetite utilize strain later day harness best offer
Afpak,4.2,"afpak, named for its direct afghani and pakistani landrace heritage, is a beautiful indica-dominant hybrid with light green and deep bluish purple leaves. the taste and aroma are floral with a touch of lemon, making the inhale light and smooth. its effects start in the stomach by activating the appetite. there is also a potent relaxation that starts in the head and face, and gradually sinks down into the body. enjoy this strain if you’re suffering from stress, mild physical discomfort, or having difficulty eating.  ",Relaxed,Creative,Focused,Sleepy,Happy,Pine,Spicy/Herbal,Earthy,0,afpak named direct afghani pakistani landrace heritage beautiful hybrid light green deep bluish purple leaves taste aroma floral touch lemon making inhale light smooth effects start stomach activating appetite also potent relaxation starts head face gradually sinks body enjoy strain suffering stress mild physical discomfort difficulty eating
African,3.9,"african refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect.",Euphoric,Energetic,Aroused,Tingly,Creative,Spicy/Herbal,Pungent,Pepper,1,african refers indigenous varieties cannabis landraces grow natively region world region latitude climate native landrace strains tend sativa structure effect
Afrikaner,0.0,"afrikaner by cannabaal and master grower waldo botha is a pure south african landrace strain. this tall strain produces high levels of thcv alongside a healthy 20% thc content. it has an earthy hemp aroma, but the flavor is a “sweet picante weed stench,” or so says the producer. a pure sativa, afrikaner energizes the body with a euphoric lust for life while keeping the mind fairly clear. utilize this strain in the proper dosage to harness the physical stimulation and mood elevation for productive means.  ",None,,,,,None,,,1,afrikaner cannabaal master grower waldo botha pure south african landrace strain tall strain produces high levels thcv alongside healthy thc content earthy hemp aroma flavor sweet picante weed stench says producer pure sativa afrikaner energizes body euphoric lust life keeping mind fairly clear utilize strain proper dosage harness physical stimulation mood elevation productive means
Afternoon-Delight,4.8,"afternoon delight, created by colorado seed inc., is a difficult strain to track down. noted for its small, dense nuggets and an aroma of pine and pungent terpenes, afternoon delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. but indulge with caution, as this hybrid has also been known for its potency. ",Talkative,Relaxed,Uplifted,Tingly,Creative,Pungent,Citrus,Tropical,0,afternoon delight created colorado seed difficult strain track noted small dense nuggets aroma pine pungent terpenes afternoon delight described hybrid hazy aura engulfs mind body indulge caution hybrid also known potency
